SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-25-2021,Single Family Residential,362 Lawn St,Oakland,PA,15213,499500,4,3,Oakland,2700,1119,1900,5,185,,Pending,,,https://www.redfin.com/PA/Pittsburgh/362-Lawn-St-15213/home/74572258,West Penn MLS,1580582,N,Y,40.433699,-79.961822
PAST SALE,,Single Family Residential,95 Donna Dr,Mccandless,PA,15237,389900,3,3,McCandless,,10541,1989,5,,,Pending,,,https://www.redfin.com/PA/Pittsburgh/95-Donna-Dr-15237/home/74760912,West Penn MLS,1586172,N,Y,40.5835094,-80.0520734
PAST SALE,December-30-1999,Single Family Residential,8254 Elaine Dr,Mccandless,PA,15237,199000,3,1.5,McCandless,989,13612,1953,5,201,,Pending,,,https://www.redfin.com/PA/Pittsburgh/8254-Elaine-Dr-15237/home/74716456,West Penn MLS,1582653,N,Y,40.5611131,-80.0087965
MLS Listing,,Single Family Residential,3121 Brunot Ave,Sheraden,PA,15204,170000,3,2,Sheraden,2045,3001,1900,5,83,,Active,,,https://www.redfin.com/PA/Pittsburgh/3121-Brunot-Ave-15204/home/74627642,West Penn MLS,1587920,N,Y,40.4591699,-80.0510256
MLS Listing,,Single Family Residential,1231 Pinewood Dr,Mt. Lebanon,PA,15243,275000,3,2,Mt. Lebanon,1347,8637,1951,5,204,,Contingent,,,https://www.redfin.com/PA/Pittsburgh/1231-Pinewood-Dr-15243/home/73571822,West Penn MLS,1587898,N,Y,40.3690663,-80.0675138
MLS Listing,,Single Family Residential,TBD Crane Ave,Banksville/westwood,PA,15220,19500,0,,Banksville/Westwood,,12540,,5,,,Active,,,https://www.redfin.com/PA/Banksville-Westwood/TBD-Crane-AVE-15220/home/183371156,West Penn MLS,1587863,N,Y,40.411514,-80.0311529
MLS Listing,,Single Family Residential,136 Dillon Dr,Mt. Lebanon,PA,15243,279000,4,2.5,Mt. Lebanon,,,1975,5,,,Contingent,,,https://www.redfin.com/PA/Pittsburgh/136-Dillon-Dr-15243/home/73546379,West Penn MLS,1587889,N,Y,40.3746224,-80.0763881
MLS Listing,,Single Family Residential,52 Winloch Ave,Ingram,PA,15205,174900,3,1.5,Ingram,1134,2391,1900,5,154,,Active,,,https://www.redfin.com/PA/Pittsburgh/52-Winloch-Ave-15205/home/74621414,West Penn MLS,1587805,N,Y,40.4426953,-80.0605429
MLS Listing,,Single Family Residential,749 Dunster St,Brookline,PA,15226,165000,2,1,Brookline,880,2962,1940,5,188,,Active,,,https://www.redfin.com/PA/Pittsburgh/749-Dunster-St-15226/home/74692055,West Penn MLS,1587806,N,Y,40.4024157,-80.0101942
MLS Listing,,Single Family Residential,1004 Moyer St,Sheraden,PA,15204,70000,3,1,Sheraden,1852,2482,1901,5,38,,Active,,,https://www.redfin.com/PA/Pittsburgh/1004-Moyer-St-15204/home/74627801,West Penn MLS,1587855,N,Y,40.458229,-80.0643953
MLS Listing,,Single Family Residential,5175 Natrona,Lawrenceville,PA,15201,350000,2,1,Lawrenceville,,2178,1900,5,,,Active,,,https://www.redfin.com/PA/Pittsburgh/5175-Natrona-Way-15201/home/74734451,West Penn MLS,1587860,N,Y,40.4795363,-79.9533875
MLS Listing,,Single Family Residential,5173 Natrona,Lawrenceville,PA,15201,350000,2,1,Lawrenceville,,2352,1900,5,,,Active,,,https://www.redfin.com/PA/Pittsburgh/5173-Natrona-Way-15201/home/74734450,West Penn MLS,1587852,N,Y,40.4794989,-79.9534304
MLS Listing,,Single Family Residential,1038 Haller St,Brighton Heights,PA,15212,185000,2,1,Brighton Heights,1132,3763,1910,5,163,,Active,,,https://www.redfin.com/PA/Pittsburgh/1038-Haller-St-15212/home/74462881,West Penn MLS,1587811,N,Y,40.4900105,-80.0321087
MLS Listing,,Single Family Residential,5171 Natrona,Lawrenceville,PA,15201,350000,2,1,Lawrenceville,,11325,1900,5,,,Active,,,https://www.redfin.com/PA/Pittsburgh/5171-Natrona-Way-15201/home/74735000,West Penn MLS,1587848,N,Y,40.4794478,-79.9534358
MLS Listing,,Single Family Residential,1342 Woodbine St,Stanton Heights,PA,15201,170000,2,1,Stanton Heights,,4199,1940,5,,,Contingent,,,https://www.redfin.com/PA/Pittsburgh/1342-Woodbine-St-15201/home/74467774,West Penn MLS,1587660,N,Y,40.4827101,-79.9379751
MLS Listing,,Single Family Residential,3312 Francisco St,Sheraden,PA,15204,225000,4,2.5,Sheraden,1782,3001,1909,5,126,,Active,,,https://www.redfin.com/PA/Pittsburgh/3312-Francisco-St-15204/home/74627544,West Penn MLS,1587746,N,Y,40.4572082,-80.0615906
